Customer No	Customer Name	Region	State	Sales Person	Industry/Type	Channel
0000037414	KAMPI COMPONENTS CO	Americas	PA	D.A. CROWLEY (NE)	5265 MILITARY CONTRACT MFRS	OEM
0000044983	CUMMINS ENGINE CO., INC .	Americas	IN	MILLENNIUM ALLIANCE	4223 TRUCK & BUS	OEM
0000045641	HONEYWELL INTERNATIONAL	Americas	AZ	SPECTRUM LUSCOMBE	5140 COMMERCIAL AVIONICS	OEM
0000053230	LOCKHEED MARTIN CORP	Americas	GA	HOUSE SOUTHEAST	5270 MILITARY AIRFRAME	OEM
0000053230	LOCKHEED MARTIN CORP	Americas	TX	FRALIA	5240 MILITARY AVIONICS	OEM
0000053356	ERICKSON INCORPORATED	Americas	OR	LUSCOMBE ENGINEERING PNW	5100 COMMERCIAL AIRCRAFT	OEM
0000053362	BOEING COMMERCIAL	Americas	WA	HOUSE	5270 MILITARY AIRFRAME	OEM
0000053412	TE CONNECTIVITY CORP	Americas	AZ	SPECTRUM LUSCOMBE	5000 MILITARY/AEROSPACE(NOT ALLOWED	OEM
0000053416	RAYTHEON FSS-A/P	Americas	MD	HOUSE SOUTHEAST	5220 Radar/Sonar	OEM
0000063664	GE HEALTHCARE	Americas	WI	CONTROL SALES	6111 IMAGING	OEM
0000066721	REVERE ELECTRIC SUPPLY CO	Americas	IL	CONTROL SALES	6134 OTHER INDUSTRIAL	OEM
0000071223	MASTER ELECTRONICS	Americas	WI	PEREZ, HENRY	9300 FRANCHISED DISTRIBUTORS	Distribution
0000071524	BENCHMARK ELECTRONICS INC	Americas	AL	HOUSE SOUTHEAST	5265 MILITARY CONTRACT MFRS	OEM
0000071930	QUALASTAT ELECTRONICS	Americas	AZ	SPECTRUM LUSCOMBE	5265 MILITARY CONTRACT MFRS	OEM
0000071997	PLEXUS CORP	Americas	TX	SPECTRUM LUSCOMBE	6111 IMAGING	OEM
0000073253	BOEING COMPANY	Americas	CA	LUSCOMBE ENGINEERING SOCAL	5240 MILITARY AVIONICS	OEM
0000078826	AVNET INC.	Americas		WHITE, JOE	9300 FRANCHISED DISTRIBUTORS	Distribution
0000078826	AVNET INC.	Americas	AZ	WHITE, JOE	9300 FRANCHISED DISTRIBUTORS	Distribution
