Part Number	Column1	item master	Part Description	Product Family Level 1	Product Family Level 2	Product Family Level 3	Product Family Level 4
000000050	000000050	#N/A	16958/1 (100 PCS PACK)	VO   VOCO VOCO10 5	VEAM Other	VEAM Components/Tool	VEAM Components - CIR - Misc Other
000000450	000000450	#N/A	43240	VO   VOCO VOCO10 7	VEAM Other	VEAM Components/Tool	VEAM Components - Tools
000001570	000001570	#N/A	43381-24        (100 PCS PACK)	VO   VOCO VOCO10 5	VEAM Other	VEAM Components/Tool	VEAM Components - CIR - Misc Other
000001750	000001750	#N/A	VBN-PG16BL20T39	VB   VBKT VBKT10 0	VEAM VBN	VBN Kit	VBN kit - Straight backshell
000003170	000003170	000003170	CIR02R36-10SW-F80T12	VC   VCCR VCCR16 0	VEAM CIR/FRCIR	CIR/FRCIR	CIR/FRCIR 90° plug
000005540	000005540	#N/A	VBN-RV28T39	VB   VBKT VBKT10 0	VEAM VBN	VBN Kit	VBN kit - Straight backshell
000005680	000005680	#N/A	VBN-RV18T39	VB   VBKT VBKT10 0	VEAM VBN	VBN Kit	VBN kit - Straight backshell
000005720	000005720	#N/A	VBN-RV32T39	VB   VBKT VBKT10 0	VEAM VBN	VBN Kit	VBN kit - Straight backshell
000006150	000006150	#N/A	27977-12T8 (10 PCS PACK)	VO   VOCO VOCO10 1	VEAM Other	VEAM Components/Tool	VEAM Components - CIR - Contact
000006200	000006200	#N/A	27977-16T50 (10 PCS PACK)	VO   VOCO VOCO10 1	VEAM Other	VEAM Components/Tool	VEAM Components - CIR - Contact
000006250	000006250	#N/A	47114-155T9 (10 PCS PACK)	VO   VOCO VOCO10 1	VEAM Other	VEAM Components/Tool	VEAM Components - CIR - Contact
000007270	000007270	#N/A	47107-155T9      (10 PCS PACK)	VO   VOCO VOCO10 1	VEAM Other	VEAM Components/Tool	VEAM Components - CIR - Contact
000008420	000008420	#N/A	CIR14STFSKGT32	VC   VCCR VCCR20 0	VEAM CIR/FRCIR	CIR/FRCIR	CIR/FRCIR Others
000008970	000008970	000008970	CIRG06SB28-12S-F80	VC   VCCR VCCR13 0	VEAM CIR/FRCIR	CIR/FRCIR	CIR/FRCIR Straight plug
000009580	000009580	#N/A	VS3102R20-15S-F80-VO	VO   VOVE VOVE12 0	VEAM Other	VE/VS	VE/VS Box Mount Receptacle
000009600	000009600	000009600	CIR02R14S-6P	VC   VCCR VCCR12 0	VEAM CIR/FRCIR	CIR/FRCIR	CIR/FRCIR Box Mounted Receptacle
000011740	000011740	#N/A	VS3106G2-22-14S-CR1	VO   VOVE VOVE14 0	VEAM Other	VE/VS	VE/VS Straight Plug
