Description	Global Manufacturing Part Number	Regional Manufacturing Part Number	Stripped Description	Series	Line	RoHS Compliant	REACh SVHC	MOQ	Package Qty	Class Code	Currency	Region	Type	QC1	C1	QC2	C2	QC3	C3	QC4	C4	QC5	C5	QC6	C6	QC7	C7	QC8	C8	QC9	C9	QC10	C10	QC11	C11	QC12	C12	QC13	C13	QC14	C14	QC15	C15	QC16	C16	QC17	C17	QC18	C18	QC19	C19	QC20	C20	QC21	C21	QC22	C22	QC23	C23	QC24	C24	QC25	C25	Estimated Mfg Lead Time	Country of Origin	DLA	Country of Compliance	Export Control Code	Export Compliance Notes	ECCN Code	HTS Code	CAPS Item
CIR06F-20-3P-F80	000000110	000000110	CIR06F203PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	85.33	25	68.77	50	57.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR030F-20-3S-F80	000000120	000000120	CIR030F203SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	91.28	25	73.56	50	61.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
VBN-M25BL22T39	000000260	000000260	VBNM25BL22T39	Circular	Veam CIR, VBN, Other	Consult factory	consult factory	25	1		EUR	European	Distribution Cost	25	17.28	50	16.09	100	14.94	250	14.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12 weeks	Italy	False					85366990990	
CIR03R-22-14S	000000480	000000480	CIR03R2214S	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	114.53	25	92.29	50	76.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-20-3P-F80-VO	000000530	000000530	CIR01A203PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	45.88	25	37	50	30.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-24-2P-F80-VO	000000540	000000540	CIR01A242PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	44.02	25	35.5	50	29.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR06A-28-18P	000000570	000000570	CIR06A2818P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	65.78	25	53.01	50	44.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR00RV-40A-31P-F80	000000660	000000660	CIR00RV40A31PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	108.34	25	87.31	50	72.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR06CF-40A-31S-F80	000000670	000000670	CIR06CF40A31SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	159.73	25	128.72	50	107.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR08F-14S-2P	000000840	000000840	CIR08F14S2P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	82.24	25	66.28	50	55.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-14S-2S	000000860	000000860	CIR01A14S2S	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	Distribution Cost	10	51.28	25	41.36	50	34.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
