Description	Global Manufacturing Part Number	Regional Manufacturing Part Number	Stripped Description	Series	Line	RoHS Compliant	REACh SVHC	MOQ	Package Qty	Class Code	Currency	Region	Type	QR1	R1	QR2	R2	QR3	R3	QR4	R4	QR5	R5	QR6	R6	QR7	R7	QR8	R8	QR9	R9	QR10	R10	QR11	R11	QR12	R12	QR13	R13	QR14	R14	QR15	R15	QR16	R16	QR17	R17	QR18	R18	QR19	R19	QR20	R20	QR21	R21	QR22	R22	QR23	R23	QR24	R24	QR25	R25	Estimated Mfg Lead Time	Country of Origin	DLA	Country of Compliance	Export Control Code	Export Compliance Notes	ECCN Code	HTS Code	CAPS Item
CIR06F-20-3P-F80	000000110	000000110	CIR06F203PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	109.45	25	85.33	50	68.77	100	57.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR030F-20-3S-F80	000000120	000000120	CIR030F203SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	117.07	25	91.28	50	73.56	100	61.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR03R-22-14S	000000480	000000480	CIR03R2214S	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	146.89	25	114.53	50	92.29	100	76.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-20-3P-F80-VO	000000530	000000530	CIR01A203PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	58.87	25	45.88	50	37	100	30.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-24-2P-F80-VO	000000540	000000540	CIR01A242PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	56.49	25	44.02	50	35.5	100	29.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR06A-28-18P	000000570	000000570	CIR06A2818P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	84.37	25	65.78	50	53.01	100	44.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR00RV-40A-31P-F80	000000660	000000660	CIR00RV40A31PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	138.95	25	108.34	50	87.31	100	72.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR06CF-40A-31S-F80	000000670	000000670	CIR06CF40A31SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	204.87	25	159.73	50	128.72	100	107.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR08F-14S-2P	000000840	000000840	CIR08F14S2P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	105.49	25	82.24	50	66.28	100	55.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-14S-2S	000000860	000000860	CIR01A14S2S	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		EUR	European	OEM	10	65.81	25	51.28	50	41.36	100	34.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
