Description	Global Manufacturing Part Number	Regional Manufacturing Part Number	Stripped Description	Series	Line	RoHS Compliant	REACh SVHC	MOQ	Package Qty	Class Code	Currency	Region	Type	QC1	C1	QC2	C2	QC3	C3	QC4	C4	QC5	C5	QC6	C6	QC7	C7	QC8	C8	QC9	C9	QC10	C10	QC11	C11	QC12	C12	QC13	C13	QC14	C14	QC15	C15	QC16	C16	QC17	C17	QC18	C18	QC19	C19	QC20	C20	QC21	C21	QC22	C22	QC23	C23	QC24	C24	QC25	C25	Estimated Mfg Lead Time	Country of Origin	DLA	Country of Compliance	Export Control Code	Export Compliance Notes	ECCN Code	HTS Code	CAPS Item	Design Registration Eligible
46179-201T12	000-915640	000-915640	46179201T12	Circular	Veam CIR, VBN, Other	Consult factory	consult factory	250	1		USD	North American	Distribution Cost	250	15.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15 weeks	Italy	False	United States	C	"Commercial Shipments ""C"". Controlled by the US Department of Commerce."	EAR99	8538.90.8140		Yes
CIR06F-20-3P-F80	000000110	000000110	CIR06F203PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	111.22	25	89.64	50	74.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR030F-20-3S-F80	000000120	000000120	CIR030F203SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	118.97	25	95.89	50	79.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR03R-22-14S	000000480	000000480	CIR03R2214S	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	149.27	25	120.31	50	100.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR01A-20-3P-F80-VO	000000530	000000530	CIR01A203PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	59.81	25	48.2	50	40.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR01A-24-2P-F80-VO	000000540	000000540	CIR01A242PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	57.39	25	46.24	50	38.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR06A-28-18P	000000570	000000570	CIR06A2818P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	85.74	25	69.1	50	57.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR00RV-40A-31P-F80	000000660	000000660	CIR00RV40A31PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	141.2	25	113.81	50	94.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR06CF-40A-31S-F80	000000670	000000670	CIR06CF40A31SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	208.19	25	167.8	50	139.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
CIR08F-14S-2P	000000840	Z00261	CIR08F14S2P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	Distribution Cost	10	107.19	25	86.4	50	71.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False							Yes
