Description	Global Manufacturing Part Number	Regional Manufacturing Part Number	Stripped Description	Series	Line	RoHS Compliant	REACh SVHC	MOQ	Package Qty	Class Code	Currency	Region	Type	QR1	R1	QR2	R2	QR3	R3	QR4	R4	QR5	R5	QR6	R6	QR7	R7	QR8	R8	QR9	R9	QR10	R10	QR11	R11	QR12	R12	QR13	R13	QR14	R14	QR15	R15	QR16	R16	QR17	R17	QR18	R18	QR19	R19	QR20	R20	QR21	R21	QR22	R22	QR23	R23	QR24	R24	QR25	R25	Estimated Mfg Lead Time	Country of Origin	DLA	Country of Compliance	Export Control Code	Export Compliance Notes	ECCN Code	HTS Code	CAPS Item
46179-201T12	000-915640	000-915640	46179201T12	Circular	Veam CIR, VBN, Other	Consult factory	consult factory	250	1		USD	North American	OEM	250	17.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15 weeks	Italy	False	United States	C	"Commercial Shipments ""C"". Controlled by the US Department of Commerce."	EAR99	8538.90.8140	
CIR06F-20-3P-F80	000000110	000000110	CIR06F203PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	142.61	25	111.22	50	89.64	100	74.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR030F-20-3S-F80	000000120	000000120	CIR030F203SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	152.54	25	118.97	50	95.89	100	79.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR03R-22-14S	000000480	000000480	CIR03R2214S	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	191.39	25	149.27	50	120.31	100	100.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-20-3P-F80-VO	000000530	000000530	CIR01A203PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	76.72	25	59.81	50	48.2	100	40.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR01A-24-2P-F80-VO	000000540	000000540	CIR01A242PF80V0	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	73.62	25	57.39	50	46.24	100	38.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR06A-28-18P	000000570	000000570	CIR06A2818P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	109.94	25	85.74	50	69.1	100	57.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR00RV-40A-31P-F80	000000660	000000660	CIR00RV40A31PF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	181.05	25	141.2	50	113.81	100	94.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR06CF-40A-31S-F80	000000670	000000670	CIR06CF40A31SF80	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	266.95	25	208.19	50	167.8	100	139.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
CIR08F-14S-2P	000000840	Z00261	CIR08F14S2P	Circular	Veam CIR, VBN, Other	Not ROHS compliant: Material restriction according to RoHS Directive 2011/65/EU amended with Directive (EU) 2015/863	consult factory	10	1		USD	North American	OEM	10	137.45	25	107.19	50	86.4	100	71.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 weeks	Consult Factory	False						
