Quote #	Customer Name (ECIW)	Customer Number (Matching)	Part Number	MinQty	Booked Cost	Unit Price	Effective Date	Expiration Date	Request Date	Quote Date	Outcome
SP677154	TTI, INC.	0000170493	MDM-37SSM5-A174	10	7.57	4.11	5/7/2026	7/6/2026	5/7/2026	5/7/2026	NULL
SP675701	AVNET EUROPE BV 	0000090993	MM38999-12S-20188	NULL	NULL	28.393	4/21/2026	NULL	4/21/2026	4/21/2026	NULL
SP675701	MOUSER ELECTRONICS	0000071275	MM38999-16P-20082	NULL	NULL	NULL	4/21/2026	NULL	4/21/2026	4/21/2026	NULL
SP675701	MOUSER ELECTRONICS	0000071275	MM38999-16S-20083	NULL	NULL	NULL	4/21/2026	NULL	4/21/2026	4/21/2026	NULL
SP675701	MOUSER ELECTRONICS	0000071275	MM38999-08P-20193	NULL	NULL	NULL	4/21/2026	NULL	4/21/2026	4/21/2026	NULL
SP675701	MOUSER ELECTRONICS	0000071275	MM38999-08S-20194	NULL	NULL	37.66	4/21/2026	NULL	4/21/2026	4/21/2026	NULL
SP676783	MOUSER ELECTRONICS	0000071275	351-1608-000	NULL	NULL	26.74	5/4/2026	7/3/2026	5/4/2026	5/4/2026	NULL
SP669401	MOUSER ELECTRONICS	0000071275	FRMGPCIR06A40B-90S-DM-PG036-G-D208	NULL	NULL	5	2/13/2026	3/30/2026	2/13/2026	2/13/2026	NULL
SP665623	MOUSER ELECTRONICS	0000071275	DPX-BNB-78047	NULL	NULL	NULL	1/2/2026	3/6/2026	1/2/2026	1/2/2026	NULL
SP666376	MOUSER ELECTRONICS	0000071275	VG95234-BOD24J	NULL	NULL	1403.71	1/13/2026	12/31/2026	1/13/2026	1/13/2026	NULL
SP666376	MOUSER ELECTRONICS	0000071275	VG95234KA24J	NULL	NULL	NULL	1/13/2026	12/31/2026	1/13/2026	1/13/2026	NULL
SP667876	MOUSER ELECTRONICS	0000071275	51513-16S-12-T12	NULL	NULL	0.28	1/29/2026	3/31/2026	1/29/2026	1/29/2026	NULL
SP667876	MOUSER ELECTRONICS	0000071275	FRCIR030FP-24-19S-F80-T89-VO	NULL	NULL	0.31	1/29/2026	3/31/2026	1/29/2026	1/29/2026	NULL
SP667876	MOUSER ELECTRONICS	0000071275	VBN3SS0416S-1PNT108VO-MGS02	NULL	NULL	1.92	1/29/2026	3/31/2026	1/29/2026	1/29/2026	NULL
SP668306	MOUSER ELECTRONICS	0000071275	VG95343T18B002A	NULL	NULL	NULL	2/3/2026	NULL	2/3/2026	2/3/2026	NULL
SP668350	MOUSER ELECTRONICS	0000071275	154250-0017	NULL	NULL	NULL	2/3/2026	NULL	2/3/2026	2/3/2026	NULL
SP668480	MOUSER ELECTRONICS	0000071275	CA3100R16-10P-A206	NULL	NULL	NULL	2/4/2026	4/5/2026	2/4/2026	2/4/2026	NULL
